sub_iri,category,o2,sub_label,super_iri,o1,super_label,
http://purl.obolibrary.org/obo/HP_0100407,o_not_o2,hp_no.owl,Complete duplication of the distal phalanx of the 3rd toe,http://purl.obolibrary.org/obo/HP_0010193,hp.owl,Duplication of distal phalanx of toe,
http://purl.obolibrary.org/obo/HP_0000264,o_not_o2,hp_no.owl,Abnormality of the mastoid,http://purl.obolibrary.org/obo/HP_0000271,hp.owl,Abnormality of the face,
http://purl.obolibrary.org/obo/HP_0006191,o_not_o2,hp_no.owl,Deep palmar crease,http://purl.obolibrary.org/obo/HP_0005922,hp.owl,Abnormal hand morphology,
http://purl.obolibrary.org/obo/HP_0002025,o_not_o2,hp_no.owl,Anal stenosis,http://purl.obolibrary.org/obo/HP_0002250,hp.owl,Abnormal large intestine morphology,
http://purl.obolibrary.org/obo/HP_0045075,o_not_o2,hp_no.owl,Sparse eyebrow,http://purl.obolibrary.org/obo/HP_0040296,hp.owl,Abnormal location of the eyebrow,
http://purl.obolibrary.org/obo/HP_0010713,o_not_o2,hp_no.owl,1-5 toe syndactyly,http://purl.obolibrary.org/obo/HP_0010712,hp.owl,1-4 toe syndactyly,
http://purl.obolibrary.org/obo/HP_0009803,o_not_o2,hp_no.owl,Short phalanx of finger,http://purl.obolibrary.org/obo/HP_0009824,hp.owl,Upper limb undergrowth,
http://purl.obolibrary.org/obo/HP_0010752,o_not_o2,hp_no.owl,Cleft mandible,http://purl.obolibrary.org/obo/HP_0002648,hp.owl,Abnormality of calvarial morphology,
http://purl.obolibrary.org/obo/HP_0001230,o_not_o2,hp_no.owl,Broad metacarpals,http://purl.obolibrary.org/obo/HP_0005622,hp.owl,Broad long bones,
http://purl.obolibrary.org/obo/HP_0100261,o_not_o2,hp_no.owl,Abnormal tendon morphology,http://purl.obolibrary.org/obo/HP_0003549,hp.owl,Abnormality of connective tissue,
http://purl.obolibrary.org/obo/HP_0002949,o_not_o2,hp_no.owl,Fused cervical vertebrae,http://purl.obolibrary.org/obo/HP_0003319,hp.owl,Abnormality of the cervical spine,
http://purl.obolibrary.org/obo/HP_0008802,o_not_o2,hp_no.owl,Hypoplasia of the femoral head,http://purl.obolibrary.org/obo/HP_0009816,hp.owl,Lower limb undergrowth,
http://purl.obolibrary.org/obo/HP_0008801,o_not_o2,hp_no.owl,Hypoplasia of the lesser trochanter,http://purl.obolibrary.org/obo/HP_0009816,hp.owl,Lower limb undergrowth,
http://purl.obolibrary.org/obo/HP_0008419,o_not_o2,hp_no.owl,Intervertebral disc degeneration,http://purl.obolibrary.org/obo/HP_0410007,hp.owl,Abnormality of cartilage morphology,
http://purl.obolibrary.org/obo/HP_0012217,o_not_o2,hp_no.owl,Increased urinary porphobilinogen,http://purl.obolibrary.org/obo/HP_0003215,hp.owl,Dicarboxylic aciduria,
http://purl.obolibrary.org/obo/HP_0003144,o_not_o2,hp_no.owl,Increased serum serotonin,http://purl.obolibrary.org/obo/HP_0004364,hp.owl,Abnormality of nitrogen compound homeostasis,
http://purl.obolibrary.org/obo/HP_0004018,o_not_o2,hp_no.owl,Flared radial metaphysis,http://purl.obolibrary.org/obo/HP_0045008,hp.owl,Abnormal shape of the radius,
http://purl.obolibrary.org/obo/HP_0100409,o_not_o2,hp_no.owl,Complete duplication of the distal phalanx of the 5th toe,http://purl.obolibrary.org/obo/HP_0010193,hp.owl,Duplication of distal phalanx of toe,
http://purl.obolibrary.org/obo/HP_0006146,o_not_o2,hp_no.owl,Broad metacarpal epiphyses,http://purl.obolibrary.org/obo/HP_0006134,hp.owl,Enlarged metacarpal epiphyses,
http://purl.obolibrary.org/obo/HP_0100408,o_not_o2,hp_no.owl,Complete duplication of the distal phalanx of the 4th toe,http://purl.obolibrary.org/obo/HP_0010193,hp.owl,Duplication of distal phalanx of toe,
http://purl.obolibrary.org/obo/HP_0008953,o_not_o2,hp_no.owl,Pectoralis major hypoplasia,http://purl.obolibrary.org/obo/HP_0008952,hp.owl,Shoulder muscle hypoplasia,
http://purl.obolibrary.org/obo/HP_0007210,o_not_o2,hp_no.owl,Lower limb amyotrophy,http://purl.obolibrary.org/obo/HP_0001437,hp.owl,Abnormality of the musculature of the lower limbs,
http://purl.obolibrary.org/obo/HP_0100855,o_not_o2,hp_no.owl,Triceps hypoplasia,http://purl.obolibrary.org/obo/HP_0008952,hp.owl,Shoulder muscle hypoplasia,
http://purl.obolibrary.org/obo/HP_0006184,o_not_o2,hp_no.owl,Decreased palmar creases,http://purl.obolibrary.org/obo/HP_0005922,hp.owl,Abnormal hand morphology,
http://purl.obolibrary.org/obo/HP_0005229,o_not_o2,hp_no.owl,Jejunoileal ulceration,http://purl.obolibrary.org/obo/HP_0004398,hp.owl,Peptic ulcer,
http://purl.obolibrary.org/obo/HP_0009259,o_not_o2,hp_no.owl,Stippling of the epiphysis of the distal phalanx of the 4th finger,http://purl.obolibrary.org/obo/HP_0009248,hp.owl,Abnormality of the epiphysis of the proximal phalanx of the 4th finger,
